"id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"24lVIYwtLw9AU3ySz7UVjZ","JPM200500252","旅立ち ~始まりのテーマ~","0","89986","1","1","https://open.spotify.com/track/24lVIYwtLw9AU3ySz7UVjZ","https://p.scdn.co/mp3-preview/e9258840c41f7a5a568baf80b14d6e1ed34edfa7?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/24lVIYwtLw9AU3ySz7UVjZ"
"0VSsFfhdnjwcWczajf4Nuv","JPM200500253","帰還","0","149293","1","2","https://open.spotify.com/track/0VSsFfhdnjwcWczajf4Nuv","https://p.scdn.co/mp3-preview/bf86f3ed3400ab049105826d32463c4c11ec12f1?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0VSsFfhdnjwcWczajf4Nuv"
"3AB3Qc4VGcu5kyNtP3pjXp","JPM200500254","束の間の平穏","0","103226","1","3","https://open.spotify.com/track/3AB3Qc4VGcu5kyNtP3pjXp","https://p.scdn.co/mp3-preview/848adbaa66894d70c992be56888fb656329f60d3?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3AB3Qc4VGcu5kyNtP3pjXp"
"2l6HxFgboWl8wKA4B7huF1","JPM200500255","ファレナの女王","0","82613","1","4","https://open.spotify.com/track/2l6HxFgboWl8wKA4B7huF1","https://p.scdn.co/mp3-preview/22d2c804d78c93adfad7a0fb16ba03344ff48743?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2l6HxFgboWl8wKA4B7huF1"
"66Pa5pYqxbEMZh1iJjNgIN","JPM200500256","乾いた土と疲れた民","0","103386","1","5","https://open.spotify.com/track/66Pa5pYqxbEMZh1iJjNgIN","https://p.scdn.co/mp3-preview/b0e852643ff52c0e7ca150fd58e39868c41c6a27?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/66Pa5pYqxbEMZh1iJjNgIN"
"2kSglH5D412cwx72Na64aG","JPM200500257","回顧","0","118680","1","6","https://open.spotify.com/track/2kSglH5D412cwx72Na64aG","https://p.scdn.co/mp3-preview/114f46fa6f30902b8f825a1319533ed656ed27dd?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2kSglH5D412cwx72Na64aG"
"5zQRTA4IJSGR30u7bCf1ov","JPM200500258","因縁の対決","0","82680","1","7","https://open.spotify.com/track/5zQRTA4IJSGR30u7bCf1ov","https://p.scdn.co/mp3-preview/2837cb7732e9bb1ec911419502f52bd9d397acf5?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5zQRTA4IJSGR30u7bCf1ov"
"1Lt8fZn9RkvftJ59wgQ8R6","JPM200500259","奪われし心","0","82293","1","8","https://open.spotify.com/track/1Lt8fZn9RkvftJ59wgQ8R6","https://p.scdn.co/mp3-preview/bf14df4c3685da47d85d8b97b464e7ded14c0429?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1Lt8fZn9RkvftJ59wgQ8R6"
"1aFsu6ZjVs89gL1qf7ZjCR","JPM200500260","太陽の如き威光","1","96373","1","9","https://open.spotify.com/track/1aFsu6ZjVs89gL1qf7ZjCR","https://p.scdn.co/mp3-preview/58fa8a1e55cb515b1447fb9f656a81c035da47e1?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1aFsu6ZjVs89gL1qf7ZjCR"
"5lsdLOznuiMWwdFwu1eiQM","JPM200500261","封印","0","95080","1","10","https://open.spotify.com/track/5lsdLOznuiMWwdFwu1eiQM","https://p.scdn.co/mp3-preview/e42378d11dc82ce0a7fc8d6bc728c47adc4bd21b?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5lsdLOznuiMWwdFwu1eiQM"
"4KX7N3aptt2MZqWQHoB3wU","JPM200500262","牢獄","0","88453","1","11","https://open.spotify.com/track/4KX7N3aptt2MZqWQHoB3wU","https://p.scdn.co/mp3-preview/926beda3e357e166141901e75ba208e466dd2d39?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/4KX7N3aptt2MZqWQHoB3wU"
"1ClK14ljQsGsZ6djonDKNu","JPM200500263","騎士たち","0","127706","1","12","https://open.spotify.com/track/1ClK14ljQsGsZ6djonDKNu","https://p.scdn.co/mp3-preview/48290f6b1f089c035edad6bfc7ee36565c1dedab?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1ClK14ljQsGsZ6djonDKNu"
"2KidkwciO86V7DNoPr0dXb","JPM200500264","女王騎士","2","101920","1","13","https://open.spotify.com/track/2KidkwciO86V7DNoPr0dXb","https://p.scdn.co/mp3-preview/3c36db516d372fb91498a1032460e850f459035c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2KidkwciO86V7DNoPr0dXb"
