"id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"23f2B0Xa3K5W3TfPsu10Ms","JPM201001911","真実の扉 ~タイトルバックBGM~","0","157293","1","1","https://open.spotify.com/track/23f2B0Xa3K5W3TfPsu10Ms","https://p.scdn.co/mp3-preview/1aefa8d18353d583281218e9145875c588a8f90c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/23f2B0Xa3K5W3TfPsu10Ms"
"1H4Agz0GO4LNaaZgDY6XPH","JPM201001912","はじまりのテーマ ~名前入力画面BGM~","0","150813","1","2","https://open.spotify.com/track/1H4Agz0GO4LNaaZgDY6XPH","https://p.scdn.co/mp3-preview/23513dd4bc85b0c43c859233827e64429226e9b3?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1H4Agz0GO4LNaaZgDY6XPH"
"5Co7k0YJngXmzcQUHZxPI2","JPM201001913","まだ見ぬ世界へ ~ワールドマップBGM~","0","212493","1","3","https://open.spotify.com/track/5Co7k0YJngXmzcQUHZxPI2","https://p.scdn.co/mp3-preview/1ac272f0921b2d5426929e5223319b27c32324c2?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5Co7k0YJngXmzcQUHZxPI2"
"3HoBz2GF6MtdSvwlmyrs4F","JPM201001914","大樹のある遺跡 ~本拠地(遺跡)BGM~","0","214293","1","4","https://open.spotify.com/track/3HoBz2GF6MtdSvwlmyrs4F","https://p.scdn.co/mp3-preview/044cdfbe06b01508ed52aa1bf7eeabeed2b6d294?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3HoBz2GF6MtdSvwlmyrs4F"
"6nwclB0bJqmRGL7aqQoivN","JPM201001915","芽吹く緑の時代 ~第一章フィールドBGM~","0","194133","1","5","https://open.spotify.com/track/6nwclB0bJqmRGL7aqQoivN","https://p.scdn.co/mp3-preview/1cbcb94b8fe46414a56a2c2eaa13115c5cd6d896?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6nwclB0bJqmRGL7aqQoivN"
"0s5k7dy6v9R3owYGvySciM","JPM201001916","行く手を阻む敵 ~フィールド戦闘BGM~","1","189693","1","6","https://open.spotify.com/track/0s5k7dy6v9R3owYGvySciM","https://p.scdn.co/mp3-preview/6426303a823a54da29245286c63a60eaa05ad7e7?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0s5k7dy6v9R3owYGvySciM"
"5rkUkPZcr0qqtCT1JeV2oM","JPM201001917","異形魔の襲撃 ~テラスファルマ戦闘BGM~","0","162093","1","7","https://open.spotify.com/track/5rkUkPZcr0qqtCT1JeV2oM","https://p.scdn.co/mp3-preview/bb1b134dafdb32a9661260145a808be3fec2a8df?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5rkUkPZcr0qqtCT1JeV2oM"
"66sKHqM8n9LP0IUNp8SlN7","JPM201001918","勝利のテーマ ~戦闘勝利BGM~","0","44493","1","8","https://open.spotify.com/track/66sKHqM8n9LP0IUNp8SlN7","https://p.scdn.co/mp3-preview/d11c008c1ae840cec609daae45cb5da91552dfc3?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/66sKHqM8n9LP0IUNp8SlN7"
"6hDQqMRSSXId45OisJcfsh","JPM201001919","成長の証 ~レベルアップBGM~","0","48093","1","9","https://open.spotify.com/track/6hDQqMRSSXId45OisJcfsh","https://p.scdn.co/mp3-preview/03dec07ce91143ab8ca4ca8058576029a257f0c6?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6hDQqMRSSXId45OisJcfsh"
"7pdPd6r5a462aBO7SzgQs7","JPM201001920","守りたい場所 ~テルベの里BGM~","0","194133","1","10","https://open.spotify.com/track/7pdPd6r5a462aBO7SzgQs7","https://p.scdn.co/mp3-preview/fe65c0a3f5de39ddee7538524fb3930c495b7808?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/7pdPd6r5a462aBO7SzgQs7"
"6QX37EW5aFQupICOHZuRsX","JPM201001921","枝葉色づく時代 ~第一章・百年前~","0","173853","1","11","https://open.spotify.com/track/6QX37EW5aFQupICOHZuRsX","https://p.scdn.co/mp3-preview/8f9b6f7226df081ed76c4e0ecd6d1a946c65633c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6QX37EW5aFQupICOHZuRsX"
